企業ID,_score,_pred,購入フラグ,_区分
56,0.4265498652291105,0,0,TN
57,0.7948113207547168,1,1,TP
58,0.006064690026954178,0,0,TN
59,0.09939353099730458,0,0,TN
60,0.7587601078167117,1,1,TP
61,0.7001347708894878,0,0,TN
62,0.7200134770889488,0,0,TN
63,0.1337601078167116,0,0,TN
64,0.6452156334231806,0,0,TN
65,0.1337601078167116,0,0,TN
66,0.06132075471698113,0,0,TN
67,0.1765498652291105,0,0,TN
68,0.3723045822102426,0,0,TN
69,0.16037735849056603,0,0,TN
70,0.2944743935309973,0,0,TN
71,0.49663072776280326,0,0,TN
72,0.944743935309973,1,1,TP
73,0.8453504043126685,1,0,FP
74,0.38376010781671155,0,0,TN
75,0.04278975741239892,0,0,TN
76,0.7641509433962264,1,1,TP
77,0.7749326145552562,1,0,FP
78,0.5852425876010782,0,0,TN
79,0.4396900269541779,0,0,TN
80,0.8702830188679245,1,1,TP
81,0.23483827493261455,0,0,TN
82,0.7584231805929919,1,1,TP
83,0.24629380053908356,0,0,TN
84,0.5373989218328841,0,0,TN
85,0.2631401617250674,0,0,TN
86,0.0849056603773585,0,0,TN
87,0.5704177897574124,0,1,FN
88,0.5502021563342319,0,0,TN
89,0.9538409703504043,1,1,TP
90,0.14319407008086252,0,0,TN
91,0.9935983827493261,1,1,TP
92,0.5384097035040432,0,0,TN
93,0.8510781671159029,1,1,TP
94,0.8716307277628033,1,1,TP
95,0.3028975741239892,0,0,TN
96,0.04649595687331536,0,0,TN
97,0.4252021563342318,0,0,TN
98,0.7809973045822102,1,0,FP
99,0.9255390835579516,1,1,TP
100,0.18227762803234504,0,0,TN
101,0.8254716981132075,1,0,FP
102,0.4632749326145552,0,0,TN
103,0.4029649595687331,0,0,TN
104,0.5171832884097035,0,0,TN
105,0.4221698113207547,0,0,TN
106,0.18295148247978438,0,0,TN
107,0.21361185983827494,0,0,TN
108,0.9799528301886793,1,1,TP
109,0.5461590296495957,0,0,TN
110,0.9582210242587601,1,1,TP
111,0.08692722371967655,0,0,TN
112,0.08827493261455527,0,0,TN
113,0.9845013477088949,1,1,TP
114,0.9703504043126685,1,1,TP
115,0.386455525606469,0,0,TN
116,0.9214959568733154,1,1,TP
117,0.5785040431266847,0,0,TN
118,0.6586927223719676,0,1,FN
119,0.7537061994609165,1,1,TP
120,0.7654986522911051,1,1,TP
121,0.3857816711590296,0,0,TN
122,0.6556603773584906,0,1,FN
123,0.6431940700808625,0,0,TN
124,0.36691374663072773,0,0,TN
125,0.6330862533692723,0,1,FN
126,0.8143530997304582,1,1,TP
127,0.41475741239892183,0,0,TN
128,0.889487870619946,1,0,FP
129,0.8557951482479785,1,1,TP
130,0.20451482479784366,0,0,TN
131,0.40970350404312667,0,0,TN
132,0.09130727762803235,0,0,TN
133,0.8776954177897573,1,1,TP
134,0.7210242587601079,0,0,TN
135,0.9683288409703504,1,1,TP
136,0.03402964959568733,0,0,TN
137,0.36792452830188677,0,0,TN
138,0.09669811320754716,0,0,TN
139,0.17587601078167114,0,0,TN
140,0.8153638814016172,1,1,TP
141,0.869946091644205,1,1,TP
142,0.4346361185983828,0,0,TN
143,0.06098382749326146,0,0,TN
144,0.7594339622641508,1,1,TP
145,0.20316711590296496,0,0,TN
146,0.820754716981132,1,1,TP
147,0.6728436657681941,0,0,TN
148,0.2371967654986523,0,0,TN
149,0.7068733153638814,0,0,TN
150,0.5006738544474394,0,0,TN
151,0.9218328840970351,1,1,TP
152,0.13544474393530997,0,0,TN
153,0.1334231805929919,0,0,TN
154,0.5633423180592992,0,0,TN
155,0.7523584905660378,1,1,TP
156,0.6991239892183289,0,0,TN
157,0.2971698113207547,0,0,TN
158,0.9558625336927224,1,1,TP
159,0.18295148247978438,0,0,TN
160,0.9373315363881402,1,1,TP
161,0.3685983827493262,0,0,TN
162,0.883423180592992,1,1,TP
163,0.8662398921832883,1,1,TP
164,0.5229110512129381,0,0,TN
165,0.8615229110512129,1,1,TP
166,0.19609164420485176,0,0,TN
167,0.12432614555256065,0,0,TN
168,0.8881401617250673,1,1,TP
169,0.46698113207547165,0,0,TN
170,0.8925202156334231,1,1,TP
171,0.6957547169811321,0,0,TN
172,0.8733153638814015,1,1,TP
173,0.18935309973045822,0,0,TN
174,0.7398921832884097,1,1,TP
175,0.4383423180592992,0,0,TN
176,0.351078167115903,0,0,TN
177,0.771900269541779,1,0,FP
178,0.07311320754716981,0,0,TN
179,0.8066037735849056,1,1,TP
180,0.4754043126684636,0,0,TN
181,0.7307951482479784,0,0,TN
182,0.039757412398921825,0,0,TN
183,0.2442722371967655,0,0,TN
184,0.5481805929919137,0,0,TN
185,0.4380053908355795,0,0,TN
186,0.0889487870619946,0,0,TN
187,0.7119272237196765,0,0,TN
188,0.8305256064690028,1,1,TP
189,0.2779649595687331,0,0,TN
190,0.15902964959568733,0,0,TN
191,0.7186657681940701,0,1,FN
192,0.8349056603773585,1,1,TP
193,0.6863207547169812,0,1,FN
194,0.8251347708894878,1,1,TP
195,0.8140161725067385,1,1,TP
196,0.8591644204851753,1,1,TP
197,0.23180592991913745,0,0,TN
198,0.932277628032345,1,1,TP
199,0.9602425876010783,1,1,TP
200,0.6216307277628033,0,0,TN
201,0.7028301886792453,0,0,TN
202,0.5694070080862534,0,0,TN
203,0.22068733153638814,0,0,TN
204,0.032008086253369275,0,0,TN
205,0.5336927223719676,0,0,TN
206,0.3436657681940701,0,0,TN
207,0.06637466307277629,0,0,TN
208,0.3002021563342318,0,0,TN
209,0.7452830188679245,1,0,FP
210,0.2085579514824798,0,0,TN
211,0.3086253369272237,0,0,TN
212,0.5121293800539084,0,0,TN
213,0.39588948787061995,0,0,TN
214,0.4828167115902965,0,0,TN
215,0.8423180592991915,1,1,TP
216,0.9659703504043127,1,1,TP
217,0.42722371967654993,0,0,TN
218,0.17553908355795148,0,0,TN
219,0.23214285714285715,0,0,TN
220,0.7553908355795148,1,0,FP
221,0.7479784366576819,1,0,FP
222,0.3227762803234501,0,0,TN
223,0.37129380053908356,0,0,TN
224,0.08692722371967654,0,0,TN
225,0.692722371967655,0,0,TN
226,0.23955525606469003,0,0,TN
227,0.8679245283018868,1,1,TP
228,0.5892857142857143,0,0,TN
229,0.27897574123989216,0,0,TN
230,0.5060646900269542,0,0,TN
231,0.1078167115902965,0,0,TN
232,0.8365902964959568,1,1,TP
233,0.10242587601078165,0,0,TN
234,0.24663072776280323,0,0,TN
235,0.9107142857142857,1,1,TP
236,0.5535714285714286,0,0,TN
237,0.14420485175202158,0,0,TN
238,0.8867924528301887,1,1,TP
239,0.6388140161725067,0,0,TN
240,0.15330188679245282,0,0,TN
241,0.5424528301886793,0,0,TN
242,0.5245956873315364,0,1,FN
243,0.19070080862533695,0,0,TN
244,0.06873315363881402,0,0,TN
245,0.05727762803234501,0,0,TN
246,0.6401617250673854,0,0,TN
247,0.30694070080862534,0,0,TN
248,0.5997304582210242,0,0,TN
249,0.18227762803234504,0,0,TN
250,0.8204177897574124,1,1,TP
251,0.6115229110512129,0,0,TN
252,0.6314016172506738,0,0,TN
253,0.6438679245283019,0,0,TN
254,0.647911051212938,0,1,FN
255,0.4639487870619946,0,0,TN
256,0.9976415094339622,1,1,TP
257,0.3389487870619946,0,0,TN
258,0.4336253369272237,0,0,TN
259,0.7772911051212937,1,1,TP
260,0.06772237196765499,0,0,TN
261,0.8173854447439353,1,0,FP
262,0.22068733153638814,0,0,TN
263,0.9231805929919138,1,1,TP
264,0.17958221024258758,0,0,TN
265,0.6216307277628033,0,0,TN
266,0.2601078167115903,0,0,TN
267,0.28908355795148244,0,0,TN
268,0.1940700808625337,0,0,TN
269,0.4326145552560647,0,0,TN
270,0.6435309973045822,0,0,TN
271,0.4942722371967654,0,0,TN
272,0.6657681940700808,0,0,TN
273,0.7216981132075472,0,0,TN
274,0.6303908355795148,0,0,TN
275,0.5094339622641509,0,0,TN
276,0.22169811320754715,0,0,TN
277,0.31772237196765496,0,0,TN
278,0.8433288409703504,1,0,FP
279,0.6084905660377359,0,0,TN
280,0.8578167115902965,1,1,TP
281,0.33187331536388137,0,0,TN
282,0.3881401617250674,0,0,TN
283,0.7115902964959568,0,0,TN
284,0.7742587601078167,1,0,FP
285,0.2297843665768194,0,0,TN
286,0.5411051212938005,0,0,TN
287,0.29514824797843664,0,0,TN
288,0.9393530997304582,1,1,TP
289,0.8793800539083558,1,0,FP
290,0.7897574123989217,1,0,FP
291,0.12971698113207547,0,0,TN
292,0.8402964959568733,1,0,FP
293,0.3632075471698113,0,0,TN
294,0.558288409703504,0,0,TN
295,0.32109164420485176,0,0,TN
296,0.3039083557951483,0,0,TN
297,0.2661725067385445,0,0,TN
298,0.7547169811320755,1,1,TP
299,0.758423180592992,1,0,FP
300,0.4046495956873315,0,0,TN
301,0.019204851752021565,0,0,TN
302,0.19777628032345013,0,0,TN
303,0.8578167115902965,1,1,TP
304,0.5313342318059299,0,1,FN
305,0.6910377358490566,0,0,TN
306,0.7971698113207546,1,0,FP
307,0.8911725067385445,1,1,TP
308,0.6179245283018868,0,0,TN
309,0.2109164420485175,0,0,TN
310,0.5700808625336927,0,0,TN
311,0.579177897574124,0,0,TN
312,0.8143530997304582,1,1,TP
313,0.967654986522911,1,1,TP
314,0.8136792452830188,1,1,TP
315,0.8015498652291105,1,1,TP
316,0.7351752021563343,0,0,TN
317,0.3915094339622641,0,0,TN
318,0.3143530997304582,0,0,TN
319,0.4747304582210243,0,0,TN
320,0.14386792452830188,0,0,TN
321,0.23517520215633422,0,0,TN
322,0.6650943396226414,0,0,TN
323,0.48787061994609165,0,0,TN
324,0.16037735849056603,0,0,TN
325,0.4801212938005391,0,0,TN
326,0.7435983827493262,1,0,FP
327,0.769878706199461,1,0,FP
328,0.9861859838274931,1,1,TP
329,0.03099730458221024,0,0,TN
330,0.29548517520215634,0,0,TN
331,0.4575471698113208,0,0,TN
332,0.043463611859838276,0,0,TN
333,0.8904986522911051,1,1,TP
334,0.4855121293800539,0,0,TN
335,0.21866576819407008,0,0,TN
336,0.557277628032345,0,0,TN
337,0.6944070080862534,0,1,FN
338,0.4080188679245283,0,0,TN
339,0.9497978436657682,1,1,TP
340,0.25404312668463613,0,0,TN
341,0.03504043126684636,0,0,TN
342,0.6185983827493262,0,1,FN
343,0.922843665768194,1,1,TP
344,0.3952156334231806,0,0,TN
345,0.49326145552560646,0,0,TN
346,0.4137466307277628,0,0,TN
347,0.5299865229110512,0,0,TN
348,0.2692048517520216,0,1,FN
349,0.09804582210242588,0,0,TN
350,0.306266846361186,0,0,TN
351,0.20047169811320756,0,0,TN
352,0.5616576819407009,0,0,TN
353,0.6142183288409704,0,0,TN
354,0.49831536388140163,0,0,TN
355,0.9609164420485174,1,1,TP
356,0.6634097035040432,0,0,TN
357,0.8443396226415094,1,1,TP
358,0.7927897574123989,1,1,TP
359,0.42284366576819404,0,0,TN
360,0.45619946091644203,0,0,TN
361,0.21765498652291104,0,1,FN
362,0.1691374663072776,0,0,TN
363,0.5734501347708896,0,0,TN
364,0.6485849056603774,0,0,TN
365,0.8824123989218329,1,1,TP
366,0.5515498652291105,0,0,TN
367,0.6752021563342319,0,1,FN
368,0.44878706199460916,0,0,TN
369,0.8867924528301887,1,1,TP
370,0.9103773584905661,1,1,TP
371,0.4764150943396227,0,0,TN
372,0.6455525606469003,0,0,TN
373,0.16610512129380053,0,0,TN
374,0.09602425876010783,0,0,TN
375,0.4450808625336927,0,0,TN
376,0.11455525606469003,0,0,TN
377,0.7412398921832883,1,1,TP
378,0.9693396226415094,1,1,TP
379,0.4713611859838275,0,0,TN
380,0.5899595687331536,0,0,TN
381,0.8244609164420486,1,1,TP
382,0.6485849056603773,0,0,TN
383,0.10950134770889489,0,0,TN
384,0.28066037735849053,0,0,TN
385,0.4036388140161725,0,0,TN
386,0.7847035040431267,1,1,TP
387,0.8062668463611861,1,0,FP
388,0.6300539083557951,0,0,TN
389,0.75,1,1,TP
390,0.13274932614555257,0,0,TN
391,0.18261455525606468,0,0,TN
392,0.33524258760107817,0,0,TN
393,0.20013477088948786,0,0,TN
394,0.6671159029649595,0,0,TN
395,0.19811320754716982,0,0,TN
396,0.2459568733153639,0,0,TN
397,0.3028975741239892,0,0,TN
398,0.5515498652291105,0,0,TN
399,0.7014824797843665,0,0,TN
400,0.03234501347708895,0,0,TN
401,0.2665094339622641,0,0,TN
402,0.04380053908355795,0,0,TN
403,0.8450134770889488,1,1,TP
404,0.0444743935309973,0,0,TN
405,0.3109838274932615,0,0,TN
406,0.3608490566037736,0,0,TN
407,0.6981132075471698,0,1,FN
408,0.17250673854447438,0,0,TN
409,0.13173854447439354,0,0,TN
410,0.5721024258760108,0,0,TN
411,0.0316711590296496,0,0,TN
412,0.6890161725067385,0,0,TN
413,0.5936657681940701,0,0,TN
414,0.9861859838274932,1,1,TP
415,0.6718328840970351,0,0,TN
416,0.918800539083558,1,1,TP
417,0.2240566037735849,0,0,TN
418,0.9262129380053908,1,1,TP
419,0.6340970350404312,0,0,TN
420,0.4605795148247978,0,0,TN
421,0.04278975741239892,0,0,TN
422,0.976078167115903,1,1,TP
423,0.38746630727762804,0,0,TN
424,0.4275606469002695,0,0,TN
425,0.9289083557951482,1,1,TP
426,0.10815363881401617,0,0,TN
427,0.4326145552560647,0,0,TN
428,0.03099730458221024,0,0,TN
429,0.9157681940700808,1,0,FP
430,0.4811320754716982,0,0,TN
431,0.27729110512129385,0,0,TN
432,0.0990566037735849,0,0,TN
433,0.6030997304582211,0,0,TN
434,0.9774258760107817,1,1,TP
435,0.14487870619946092,0,0,TN
436,0.1967654986522911,0,0,TN
437,0.2607816711590296,0,0,TN
438,0.14420485175202158,0,0,TN
439,0.8221024258760108,1,1,TP
440,0.35882749326145547,0,0,TN
441,0.1351078167115903,0,0,TN
442,0.45990566037735847,0,0,TN
443,0.977088948787062,1,1,TP
444,0.7082210242587601,0,1,FN
445,0.761455525606469,1,0,FP
446,0.3167115902964959,0,0,TN
447,0.33524258760107817,0,0,TN
448,0.31536388140161725,0,0,TN
449,0.02425876010781671,0,0,TN
450,0.6233153638814016,0,0,TN
451,0.05491913746630728,0,0,TN
452,0.022574123989218327,0,0,TN
453,0.8045822102425877,1,0,FP
454,0.7712264150943396,1,1,TP
455,0.27897574123989216,0,0,TN
456,0.4393530997304582,0,0,TN
457,0.9376684636118598,1,1,TP
458,0.3163746630727763,0,0,TN
459,0.38611859838274937,0,0,TN
460,0.6853099730458221,0,1,FN
461,0.5502021563342319,0,0,TN
462,0.4134097035040431,0,0,TN
463,0.7456199460916442,1,1,TP
464,0.5973719676549866,0,0,TN
465,0.14150943396226415,0,0,TN
466,0.15431266846361186,0,0,TN
467,0.581199460916442,0,0,TN
468,0.7021563342318059,0,0,TN
469,0.46226415094339623,0,0,TN
470,0.1539757412398922,0,0,TN
471,0.3386118598382749,0,0,TN
472,0.28975741239892183,0,0,TN
473,0.8584905660377358,1,0,FP
474,0.9743935309973046,1,1,TP
475,0.2085579514824798,0,0,TN
476,0.27324797843665766,0,0,TN
477,0.7873989218328841,1,1,TP
478,0.31165768194070076,0,0,TN
479,0.07243935309973046,0,0,TN
480,0.7756064690026954,1,1,TP
481,0.4299191374663073,0,0,TN
482,0.7911051212938005,1,0,FP
483,0.47304582210242585,0,0,TN
484,0.9629380053908355,1,1,TP
485,0.9110512129380055,1,1,TP
486,0.37634770889487873,0,0,TN
487,0.5801886792452831,0,0,TN
488,0.24359838274932613,0,0,TN
489,0.0704177897574124,0,0,TN
490,0.3477088948787062,0,0,TN
491,0.9228436657681941,1,1,TP
492,0.272911051212938,0,0,TN
493,0.1826145552560647,0,0,TN
494,0.1253369272237197,0,0,TN
495,0.9575471698113207,1,1,TP
496,0.24629380053908356,0,0,TN
497,0.4501347708894879,0,0,TN
498,0.97911051212938,1,1,TP
499,0.7550539083557952,1,1,TP
500,0.532345013477089,0,0,TN
501,0.9329514824797843,1,1,TP
502,0.7109164420485176,0,0,TN
503,0.6192722371967655,0,0,TN
504,0.40397574123989216,0,0,TN
505,0.008423180592991915,0,0,TN
506,0.12028301886792453,0,0,TN
507,0.1880053908355795,0,0,TN
508,0.8463611859838275,1,1,TP
509,0.7075471698113208,0,1,FN
510,0.24393530997304583,0,0,TN
511,0.796832884097035,1,1,TP
512,0.3618598382749326,0,0,TN
513,0.7796495956873315,1,1,TP
514,0.6984501347708896,0,0,TN
515,0.9022911051212937,1,1,TP
516,0.49629380053908356,0,0,TN
517,0.4966307277628032,0,0,TN
518,0.4356469002695418,0,0,TN
519,0.3561320754716981,0,0,TN
520,0.5889487870619946,0,0,TN
521,0.3665768194070081,0,1,FN
522,0.3436657681940701,0,0,TN
523,0.15464959568733153,0,0,TN
524,0.18564690026954178,0,0,TN
525,0.5276280323450135,0,0,TN
526,0.8921832884097035,1,1,TP
527,0.8311994609164419,1,1,TP
528,0.7671832884097035,1,0,FP
529,0.6266846361185984,0,0,TN
530,0.040094339622641514,0,0,TN
531,0.3217654986522911,0,0,TN
532,0.5212264150943396,0,1,FN
533,0.10579514824797845,0,0,TN
534,0.21900269541778977,0,0,TN
535,0.670822102425876,0,0,TN
536,0.9410377358490566,1,1,TP
537,0.5313342318059299,0,0,TN
538,0.25336927223719674,0,0,TN
539,0.6960916442048518,0,1,FN
540,0.36152291105121287,0,0,TN
541,0.46731805929919135,0,0,TN
542,0.4942722371967655,0,1,FN
543,0.9356469002695418,1,1,TP
544,0.7240566037735849,0,0,TN
545,0.737533692722372,0,0,TN
546,0.2749326145552561,0,0,TN
547,0.5731132075471698,0,0,TN
548,0.46731805929919135,0,0,TN
549,0.6192722371967655,0,0,TN
550,0.8477088948787062,1,1,TP
551,0.9686657681940701,1,1,TP
552,0.2745956873315364,0,0,TN
553,0.3079514824797844,0,0,TN
554,0.7466307277628033,1,0,FP
555,0.6236522911051213,0,0,TN
556,0.4305929919137466,0,0,TN
557,0.25370619946091644,0,0,TN
558,0.12398921832884098,0,0,TN
559,0.5640161725067386,0,0,TN
560,0.41947439353099736,0,0,TN
561,0.5387466307277627,0,0,TN
562,0.6162398921832885,0,0,TN
563,0.9582210242587601,1,1,TP
564,0.6913746630727763,0,1,FN
565,0.18901617250673852,0,0,TN
566,0.15195417789757412,0,0,TN
567,0.9053234501347709,1,1,TP
568,0.0761455525606469,0,0,TN
569,0.8908355795148248,1,1,TP
570,0.7604447439353099,1,0,FP
571,0.23652291105121295,0,0,TN
572,0.2254043126684636,0,0,TN
573,0.26246630727762804,0,0,TN
574,0.09501347708894878,0,0,TN
575,0.12331536388140163,0,0,TN
576,0.9272237196765498,1,1,TP
577,0.090633423180593,0,0,TN
578,0.6371293800539084,0,0,TN
579,0.32783018867924524,0,0,TN
580,0.07311320754716981,0,0,TN
581,0.6684636118598383,0,0,TN
582,0.4457547169811321,0,0,TN
583,0.8113207547169812,1,1,TP
584,0.6169137466307278,0,0,TN
585,0.8413072776280324,1,0,FP
586,0.4002695417789757,0,0,TN
587,0.013814016172506738,0,0,TN
588,0.680256064690027,0,1,FN
589,0.8793800539083558,1,1,TP
590,0.5899595687331537,0,0,TN
591,0.5003369272237197,0,0,TN
592,0.24696765498652293,0,0,TN
593,0.2971698113207547,0,0,TN
594,0.9594002695417789,1,1,TP
595,0.21361185983827496,0,0,TN
596,0.04380053908355795,0,0,TN
597,0.33995956873315364,0,0,TN
598,0.3002021563342318,0,0,TN
599,0.19238544474393532,0,0,TN
600,0.3436657681940701,0,0,TN
601,0.8527628032345014,1,1,TP
602,0.3322102425876011,0,0,TN
603,0.754043126684636,1,0,FP
604,0.6917115902964959,0,0,TN
605,0.5876010781671158,0,0,TN
606,0.693733153638814,0,0,TN
607,0.6522911051212938,0,0,TN
608,0.7462938005390836,1,0,FP
609,0.8787061994609165,1,1,TP
610,0.7772911051212937,1,0,FP
611,0.1984501347708895,0,0,TN
612,0.20586253369272237,0,0,TN
613,0.30660377358490565,0,0,TN
614,0.057614555256064695,0,0,TN
615,0.9555256064690028,1,1,TP
616,0.3261455525606469,0,0,TN
617,0.4353099730458221,0,0,TN
618,0.12196765498652293,0,0,TN
619,0.6068059299191375,0,0,TN
620,0.46495956873315364,0,0,TN
621,0.6121967654986522,0,1,FN
622,0.05087601078167116,0,0,TN
623,0.5407681940700809,0,0,TN
624,0.06805929919137467,0,0,TN
625,0.06300539083557952,0,0,TN
626,0.16273584905660377,0,0,TN
627,0.45754716981132076,0,0,TN
628,0.855121293800539,1,0,FP
629,0.6223045822102425,0,0,TN
630,0.683288409703504,0,0,TN
631,0.16745283018867924,0,0,TN
632,0.22068733153638811,0,0,TN
633,0.13140161725067387,0,0,TN
634,0.19878706199460916,0,0,TN
635,0.17115902964959567,0,0,TN
636,0.7082210242587601,0,0,TN
637,0.4720350404312669,0,0,TN
638,0.43834231805929913,0,0,TN
639,0.9026280323450135,1,1,TP
640,0.43699460916442046,0,0,TN
641,0.36522911051212936,0,0,TN
642,0.04076819407008086,0,0,TN
643,0.7243935309973045,0,0,TN
644,0.2112533692722372,0,0,TN
645,0.45822102425876016,0,0,TN
646,0.6074797843665768,0,0,TN
647,0.27055256064690025,0,0,TN
648,0.5481805929919137,0,0,TN
649,0.46361185983827496,0,0,TN
650,0.4076819407008086,0,0,TN
651,0.6782345013477089,0,0,TN
652,0.7351752021563343,0,0,TN
653,0.29683288409703507,0,0,TN
654,0.9127358490566038,1,1,TP
655,0.523921832884097,0,0,TN
656,0.238544474393531,0,0,TN
657,0.0316711590296496,0,0,TN
658,0.6398247978436657,0,0,TN
659,0.2971698113207547,0,0,TN
660,0.5872641509433962,0,0,TN
661,0.6256738544474394,0,0,TN
662,0.7473045822102427,1,0,FP
663,0.18598382749326148,0,0,TN
664,0.600067385444744,0,0,TN
665,0.26044474393531,0,0,TN
666,0.6307277628032345,0,0,TN
667,0.1121967654986523,0,0,TN
668,0.8086253369272236,1,1,TP
669,0.30020215633423186,0,0,TN
670,0.464622641509434,0,0,TN
671,0.5013477088948788,0,1,FN
672,0.32075471698113206,0,0,TN
673,0.0545822102425876,0,0,TN
674,0.0444743935309973,0,0,TN
675,0.8136792452830189,1,1,TP
676,0.4029649595687331,0,0,TN
677,0.5950134770889488,0,0,TN
678,0.431266846361186,0,0,TN
679,0.9740566037735849,1,1,TP
680,0.8766846361185984,1,1,TP
681,0.758423180592992,1,1,TP
682,0.5154986522911051,0,0,TN
683,0.7355121293800538,0,0,TN
684,0.3568059299191375,0,0,TN
685,0.7921159029649595,1,1,TP
686,0.40970350404312667,0,0,TN
687,0.8595013477088949,1,1,TP
688,0.44912398921832886,0,0,TN
689,0.2971698113207547,0,0,TN
690,0.7991913746630728,1,1,TP
691,0.24292452830188682,0,0,TN
692,0.28773584905660377,0,0,TN
693,0.7594339622641509,1,1,TP
694,0.7526954177897575,1,1,TP
695,0.6260107816711591,0,0,TN
696,0.1967654986522911,0,0,TN
697,0.05997304582210243,0,0,TN
698,0.7769541778975741,1,0,FP
699,0.37432614555256066,0,0,TN
700,0.6489218328840971,0,0,TN
701,0.09905660377358491,0,0,TN
702,0.43160377358490565,0,0,TN
703,0.4393530997304582,0,0,TN
704,0.5899595687331536,0,0,TN
705,0.966644204851752,1,1,TP
706,0.6202830188679245,0,0,TN
707,0.5535714285714286,0,0,TN
708,0.36623989218328845,0,0,TN
709,0.21731805929919135,0,0,TN
710,0.05491913746630728,0,0,TN
711,0.6132075471698113,0,0,TN
712,0.7806603773584906,1,0,FP
713,0.15431266846361186,0,0,TN
714,0.956199460916442,1,1,TP
715,0.660377358490566,0,0,TN
716,0.13679245283018868,0,0,TN
717,0.5859164420485174,0,0,TN
718,0.24056603773584906,0,0,TN
719,0.4555256064690027,0,0,TN
720,0.3817385444743935,0,0,TN
721,0.33524258760107817,0,0,TN
722,0.2139487870619946,0,0,TN
723,0.6954177897574124,0,0,TN
724,0.5326819407008087,0,0,TN
725,0.8729784366576819,1,1,TP
726,0.8830862533692722,1,1,TP
727,0.36388140161725063,0,0,TN
728,0.07176549865229111,0,0,TN
729,0.2442722371967655,0,0,TN
730,0.2786388140161725,0,0,TN
731,0.4275606469002695,0,0,TN
732,0.2961590296495957,0,0,TN
733,0.8140161725067385,1,1,TP
734,0.52088948787062,0,0,TN
735,0.4100404312668463,0,0,TN
736,0.9285714285714286,1,1,TP
737,0.4356469002695418,0,0,TN
738,0.8241239892183289,1,0,FP
739,0.8652291105121293,1,0,FP
740,0.6185983827493261,0,0,TN
741,0.5128032345013477,0,0,TN
